instance,num_phases,w_balanced,red_perc,mean_total_s,mean_solve_s,mean_build_s,mean_objective,mean_max_phase_time,std_total_s,std_solve_s,std_build_s,std_objective,std_max_phase_time
assembly_1,2,0.5,40,1.5372087983647362,0.8956615999999998,0.6159903590101748,0.8399337781545032,1092.52,0.2932217363969507,0.29063653976236364,0.02665072303601167,1.1102230246251565e-16,0.0
assembly_1,2,0.5,45,1.2301362095866353,0.5985158,0.6055614284006878,0.8399337781545032,1092.52,0.12622858827383773,0.10358029035950805,0.052721341414351815,9.930136612989092e-17,0.0
assembly_1,2,0.5,50,1.3496909277979285,0.6667466,0.6586441699881107,0.8399337781545032,1092.52,0.290101592725021,0.24508571239352162,0.0761798899809616,1.1102230246251565e-16,0.0
assembly_1,2,0.5,55,1.1027582777896896,0.4938524,0.5880889107938856,0.8399337781545029,1092.52,0.08288423706523017,0.0775397516415935,0.017390516263555846,9.23556091296148e-16,0.0
assembly_1,2,0.5,60,1.1755317432340235,0.5692525999999999,0.5872867854079231,0.8399337781545034,1092.52,0.19024320831542302,0.21887821728404128,0.0332967340263049,1.3136335981433191e-16,0.0
assembly_1,2,0.5,65,0.9799744179937988,0.4250768,0.541126137599349,0.8399337781545032,1092.52,0.2339118534666144,0.2237195558974673,0.0254609395883336,1.4043333874306804e-16,0.0
assembly_1,2,0.5,70,0.8809379154350608,0.3827812,0.4806898982496932,0.8399337781545032,1092.52,0.0713076468412929,0.06743115481259386,0.017338391826119792,1.1102230246251565e-16,0.0
assembly_1,2,0.6,0,2.8227329910732806,2.4950229999999998,0.29806130402721465,0.8407097613416105,1092.52,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.6,5,3.07428921777755,2.5142596,0.5293110505677759,0.8407097613416104,1092.52,0.507693662968526,0.5003943213872835,0.023156610797585544,1.2161883888976234e-16,0.0
assembly_1,2,0.6,10,3.1423513021785765,2.556921,0.5445808765711263,0.8407097613416104,1092.52,0.3134225105926243,0.310101701100139,0.03848041245112132,1.2161883888976234e-16,0.0
assembly_1,2,0.6,15,2.9808764656307174,2.31229,0.637246937607415,0.8407097613416104,1092.52,0.3424535502536915,0.33888346984531414,0.027793144759265656,8.599750569898517e-17,0.0
assembly_1,2,0.6,20,2.8387136423960326,2.1870452,0.6266508539905772,0.8407097613416106,1092.52,0.7851857263142672,0.7478655518311832,0.07934980385866514,8.599750569898517e-17,0.0
assembly_1,2,0.6,25,2.17885373220779,1.5707885999999998,0.5838242530357093,0.8407097613416104,1092.52,0.2762296489760495,0.27357799887534817,0.034676655104414394,1.5700924586837752e-16,0.0
assembly_1,2,0.6,30,2.033996823779307,1.4468288,0.5577108699595555,0.8407097613416106,1092.52,0.2502642453262599,0.24416381218305053,0.0174397142492789,7.021666937153402e-17,0.0
assembly_1,2,0.6,35,1.6054260835982859,1.025977,0.5527663985965774,0.8407097613416106,1092.52,0.1592604594965161,0.14430217397946574,0.019918086161510213,8.599750569898517e-17,0.0
assembly_1,2,0.6,40,1.4803818352054805,0.856409,0.599579025595449,0.8407097613416104,1092.52,0.09128288501437293,0.08335786195194787,0.0716261588118229,9.930136612989092e-17,0.0
assembly_1,2,0.6,45,1.2416129211662337,0.6077518,0.6149867381900549,0.8407097613416106,1092.52,0.09054447574799561,0.061697717651141674,0.03924068632789038,1.1102230246251565e-16,0.0
assembly_1,2,0.6,50,1.172721415804699,0.5815788,0.5707795288180932,0.8407097613416106,1092.52,0.207614672411995,0.1978582095990965,0.025550020111392333,8.599750569898517e-17,0.0
assembly_1,2,0.6,55,1.0354860410094262,0.44070660000000006,0.5765147763770073,0.8407097613416106,1092.52,0.10277218452980708,0.061362191788103544,0.05600306869688648,1.2161883888976234e-16,0.0
assembly_1,2,0.6,60,0.8742347127757967,0.369295,0.49246655178721993,0.8407097613416106,1092.52,0.09283973935388545,0.09647838826804686,0.007364259293960542,7.021666937153402e-17,0.0
